Name, Potential, Elite, Level, BATK, BS, CS, Ult, Trust, MaxPassive1, Passive1, MaxPassive2, Passive2, MaxBase1, Base1, MaxBase2, Base2
Endministrator, 2, 4, 90, 12, 10, 9, 10, 4, 2, 2, 2, 2, 0, 0, 0, 0
Catcher, 5, 3, 61, 1, 1, 1, 1, 0, 2, 0, 2, 0, 2, 2, 2, 1
